Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,13.0,Sun,2019-12-01,18:00,Wolfsburg,2.2,2–3,1.3,Werder Bremen,26012.0,Volkswagen Arena,Robert Kampka,Match Report,,20,D1
Regular season,13.0,Mon,2019-12-02,20:30,Mainz 05,1.9,2–1,2.0,Eint Frankfurt,33134.0,Opel Arena,Manuel Gräfe,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,14.0,Fri,2019-12-06,20:30,Eint Frankfurt,2.2,2–2,1.3,Hertha BSC,50000.0,Deutsche Bank Park,Christian Dingert,Match Report,,20,D1
Regular season,14.0,Sat,2019-12-07,15:30,RB Leipzig,3.6,3–1,1.5,Hoffenheim,38407.0,Red Bull Arena,Deniz Aytekin,Match Report,,20,D1
Regular season,14.0,Sat,2019-12-07,15:30,Augsburg,3.2,2–1,0.5,Mainz 05,26950.0,WWK Arena,Markus Schmidt,Match Report,,20,D1
Regular season,14.0,Sat,2019-12-07,15:30,Dortmund,3.7,5–0,0.1,Düsseldorf,81365.0,Signal Iduna Park,Daniel Siebert,Match Report,,20,D1
Regular season,14.0,Sat,2019-12-07,15:30,M'Gladbach,1.2,2–1,1.5,Bayern Munich,54022.0,Stadion im Borussia-Park,Marco Fritz,Match Report,,20,D1
Regular season,14.0,Sat,2019-12-07,15:30,Freiburg,0.5,1–0,1.6,Wolfsburg,23800.0,Schwarzwald-Stadion,Bastian Dankert,Match Report,,20,D1
Regular season,14.0,Sat,2019-12-07,18:30,Leverkusen,2.8,2–1,1.1,Schalke 04,30210.0,BayArena,Harm Osmers,Match Report,,20,D1
Regular season,14.0,Sun,2019-12-08,15:30,Union Berlin,1.9,2–0,1.2,Köln,22012.0,Stadion An der Alten Försterei,Patrick Ittrich,Match Report,,20,D1
Regular season,14.0,Sun,2019-12-08,18:00,Werder Bremen,1.0,0–1,1.4,Paderborn 07,39870.0,Weserstadion,Sascha Stegemann,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,15.0,Fri,2019-12-13,20:30,Hoffenheim,2.1,2–4,2.4,Augsburg,23309.0,PreZero Arena,Bibiana Steinhaus,Match Report,,20,D1
