Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
17.0,Sun,2019-12-15,16:45,Heracles Almelo,1.6,1–3,1.7,Utrecht,10200.0,Erve Asito,Serdar Gözübüyük,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
18.0,Fri,2019-12-20,20:00,RKC Waalwijk,1.6,3–0,1.0,Twente,5154.0,Mandemakers Stadion,Martin van den Kerkhof,Match Report,,20,N1
18.0,Sat,2019-12-21,18:30,Heerenveen,2.0,1–1,0.7,Heracles Almelo,20424.0,Abe Lenstra Stadion,Jochem Kamphuis,Match Report,,20,N1
18.0,Sat,2019-12-21,19:45,PSV Eindhoven,2.8,4–1,1.0,Zwolle,33000.0,Philips Stadion,Jeroen Manschot,Match Report,,20,N1
18.0,Sat,2019-12-21,19:45,Sparta R'dam,1.9,3–0,0.8,AZ Alkmaar,10031.0,Sparta-Stadion Het Kasteel,Kevin Blom,Match Report,,20,N1
18.0,Sat,2019-12-21,20:45,Willem II,0.9,0–0,0.6,Fortuna Sittard,13587.0,Koning Willem II Stadion,Bas Nijhuis,Match Report,,20,N1
18.0,Sun,2019-12-22,12:15,Ajax,4.0,6–1,1.2,ADO Den Haag,53976.0,Johan Cruyff ArenA,Dennis Higler,Match Report,,20,N1
18.0,Sun,2019-12-22,14:30,Utrecht,1.1,1–2,1.4,Feyenoord,21103.0,Stadion Galgenwaard,Björn Kuipers,Match Report,,20,N1
18.0,Sun,2019-12-22,14:30,Groningen,2.7,2–0,1.4,Emmen,20136.0,Hitachi Capital Mobility Stadion,Danny Makkelie,Match Report,,20,N1
