Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,12.0,Sat,2019-10-19,18:00,Lugo,3–2,Huesca,2547.0,Estadio Anxo Carro,Aitor Gorostegui,Match Report,,20,SP2
Regular season,12.0,Sat,2019-10-19,20:00,Extremadura,0–3,Rayo Vallecano,6919.0,Estadio Francisco de la Hera,Dámaso Arcediano,Match Report,,20,SP2
Regular season,12.0,Sun,2019-10-20,12:00,Fuenlabrada,0–1,Albacete,4973.0,Estadio Fernando Torres,Jon González,Match Report,,20,SP2
Regular season,12.0,Sun,2019-10-20,16:00,La Coruña,0–2,Málaga,14238.0,Estadio Municipal de Riazor,Oliver De La Fuente,Match Report,,20,SP2
Regular season,12.0,Sun,2019-10-20,17:00,Tenerife,3–3,Racing Sant,8526.0,Estadio Heliodoro Rodríguez Lopéz,Santiago Varón,Match Report,,20,SP2
Regular season,12.0,Sun,2019-10-20,18:00,Oviedo,4–2,Girona,11630.0,Estadio Nuevo Carlos Tartiere,Iñaki Bikandi,Match Report,,20,SP2
Regular season,12.0,Sun,2019-10-20,21:00,Zaragoza,1–2,CD Mirandés,18714.0,Estadio de la Romareda,Daniel Trujillo,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,13.0,Fri,2019-10-25,21:00,Albacete,1–0,Cádiz,8857.0,Estadio Carlos Belmonte,José López,Match Report,,20,SP2
Regular season,13.0,Sat,2019-10-26,16:00,Rayo Vallecano,1–3,Ponferradina,9538.0,Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,,20,SP2
Regular season,13.0,Sat,2019-10-26,18:00,Racing Sant,1–1,La Coruña,14104.0,Campos de Sport de El Sardinero,Rubén Ávalos,Match Report,,20,SP2
Regular season,13.0,Sat,2019-10-26,18:00,CD Mirandés,0–0,Tenerife,3055.0,Estadio Municipal de Anduva,Daniel Ocón,Match Report,,20,SP2
Regular season,13.0,Sat,2019-10-26,20:00,Numancia,3–1,Lugo,2953.0,Nuevo Estadio Los Pajaritos,Álvaro Moreno,Match Report,,20,SP2
Regular season,13.0,Sat,2019-10-26,20:00,Málaga,2–1,Oviedo,16085.0,Estadio La Rosaleda,Iosu Galech,Match Report,,20,SP2
Regular season,13.0,Sun,2019-10-27,12:00,Girona,0–0,Alcorcón,8024.0,Estadi Municipal de Montilivi,Luis Milla,Match Report,,20,SP2
Regular season,13.0,Sun,2019-10-27,16:00,Sporting Gijón,4–0,Zaragoza,19478.0,Estadio Municipal El Molinón,Jorge Figueroa,Match Report,,20,SP2
Regular season,13.0,Sun,2019-10-27,17:00,Las Palmas,1–3,Fuenlabrada,13136.0,Estadio de Gran Canaria,Víctor Areces,Match Report,,20,SP2
Regular season,13.0,Sun,2019-10-27,18:00,Huesca,2–0,Elche,6478.0,Estadio El Alcoraz,Juan Pulido,Match Report,,20,SP2
Regular season,13.0,Sun,2019-10-27,21:00,Almería,3–2,Extremadura,8943.0,Estadio de los Juegos Mediterráneos,Javier Villanueva,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,14.0,Fri,2019-11-01,12:00,Numancia,1–0,Albacete,3253.0,Nuevo Estadio Los Pajaritos,Miguel Ángel Ortiz Arias,Match Report,,20,SP2
Regular season,14.0,Fri,2019-11-01,16:00,Cádiz,3–1,Sporting Gijón,17157.0,Estadio Ramón de Carranza,Gorka Sagues,Match Report,,20,SP2
Regular season,14.0,Fri,2019-11-01,18:30,Ponferradina,1–0,Málaga,5766.0,Estadio El Toralín,Santiago Varón,Match Report,,20,SP2
Regular season,14.0,Fri,2019-11-01,21:00,Oviedo,0–0,Almería,11350.0,Estadio Nuevo Carlos Tartiere,Dámaso Arcediano,Match Report,,20,SP2
Regular season,14.0,Sat,2019-11-02,16:00,Fuenlabrada,1–1,La Coruña,5083.0,Estadio Fernando Torres,Iñaki Bikandi,Match Report,,20,SP2
Regular season,14.0,Sat,2019-11-02,18:00,Alcorcón,1–0,Racing Sant,2816.0,Estadio Santo Domingo,Saúl Ais,Match Report,,20,SP2
Regular season,14.0,Sat,2019-11-02,19:00,Tenerife,0–0,Huesca,9686.0,Estadio Heliodoro Rodríguez Lopéz,Oliver De La Fuente,Match Report,,20,SP2
Regular season,14.0,Sun,2019-11-03,12:00,Extremadura,1–3,Girona,7417.0,Estadio Francisco de la Hera,Aitor Gorostegui,Match Report,,20,SP2
Regular season,14.0,Sun,2019-11-03,16:00,Lugo,1–0,Rayo Vallecano,2816.0,Estadio Anxo Carro,Daniel Trujillo,Match Report,,20,SP2
Regular season,14.0,Sun,2019-11-03,18:30,Zaragoza,3–0,Las Palmas,22708.0,Estadio de la Romareda,Isidro Díaz de Mera,Match Report,,20,SP2
Regular season,14.0,Sun,2019-11-03,20:00,Elche,4–2,CD Mirandés,8567.0,Estadio Manuel Martínez Valero,Jon González,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
