Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,13.0,Sat,2018-11-24,20:45,Fortuna Sittard,2.3,3–0,1.4,Heracles Almelo,7545.0,Fortuna Sittard Stadion,Serdar Gözübüyük,Match Report,,19,N1
Regular season,13.0,Sat,2018-11-24,20:45,PSV Eindhoven,3.6,3–0,0.1,Heerenveen,34100.0,Philips Stadion,Pol van Boekel,Match Report,,19,N1
Regular season,13.0,Sun,2018-11-25,12:15,Emmen,0.8,1–2,1.4,Excelsior,8021.0,De Oude Meerdijk,Erwin Blank,Match Report,,19,N1
Regular season,13.0,Sun,2018-11-25,14:30,Utrecht,2.9,5–0,0.3,De Graafschap,18802.0,Stadion Galgenwaard,Allard Lindhout,Match Report,,19,N1
Regular season,13.0,Sun,2018-11-25,14:30,Willem II,1.5,1–3,1.5,Vitesse,11879.0,Koning Willem II Stadion,Björn Kuipers,Match Report,,19,N1
Regular season,13.0,Sun,2018-11-25,14:30,Feyenoord,1.3,1–0,0.5,Groningen,45000.0,Stadion Feijenoord,Kevin Blom,Match Report,,19,N1
Regular season,13.0,Sun,2018-11-25,16:45,VVV-Venlo,0.6,2–2,2.5,AZ Alkmaar,6217.0,Seacon Stadion De Koel,Jeroen Manschot,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,14.0,Fri,2018-11-30,20:00,Excelsior,1.9,3–3,3.1,Utrecht,4400.0,Van Donge & De Roo Stadion,Richard Martens,Match Report,,19,N1
Regular season,14.0,Sat,2018-12-01,18:30,Vitesse,2.8,1–1,1.1,Emmen,15821.0,GelreDome,Siemen Mulder,Match Report,,19,N1
Regular season,14.0,Sat,2018-12-01,19:45,AZ Alkmaar,1.8,0–2,1.1,Willem II,15787.0,AFAS Stadion,Allard Lindhout,Match Report,,19,N1
Regular season,14.0,Sat,2018-12-01,19:45,De Graafschap,0.6,0–2,1.3,Zwolle,12008.0,Stadion De Vijverberg,Martin van den Kerkhof,Match Report,,19,N1
Regular season,14.0,Sat,2018-12-01,20:45,Heerenveen,2.7,3–1,1.2,Fortuna Sittard,15626.0,Abe Lenstra Stadion,Joey Kooij,Match Report,,19,N1
