Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,12.0,Mon,2021-11-29,20:15,Estoril,1.7,2–2,1.6,Santa Clara,658.0,Estádio António Coimbra da Mota,Fábio Oliveira Melo,Match Report,,22,P1
Regular season,12.0,Tue,2021-11-30,20:15,Braga,4.0,4–1,0.6,Vizela,5681.0,Estádio Municipal de Braga,Vitor Ferreira Fernandes,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,13.0,Fri,2021-12-03,19:00,Portimonense,0.3,0–3,2.7,Porto,1585.0,Estádio do Portimonense SC,Manuel Oliveira,Match Report,,22,P1
Regular season,13.0,Fri,2021-12-03,21:15,Benfica,1.0,1–3,1.6,Sporting CP,48790.0,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,,22,P1
Regular season,13.0,Sat,2021-12-04,18:00,Boavista,0.8,1–1,0.6,Marítimo,3030.0,Estádio do Bessa Século XXI,Hélder Malheiro,Match Report,,22,P1
Regular season,13.0,Sat,2021-12-04,20:30,Paços,0.8,1–2,2.2,Vitória,1989.0,Estádio da Capital do Móvel,João Pinheiro,Match Report,,22,P1
Regular season,13.0,Sun,2021-12-05,14:30,Santa Clara,1.4,2–1,0.6,Arouca,687.0,Estádio de São Miguel,António Nobre,Match Report,,22,P1
Regular season,13.0,Sun,2021-12-05,18:00,Gil Vicente FC,2.5,4–0,1.0,Famalicão,2117.0,Estádio Cidade de Barcelos,Rui Costa,Match Report,,22,P1
Regular season,13.0,Sun,2021-12-05,20:30,Braga,2.8,2–0,0.7,Estoril,3416.0,Estádio Municipal de Braga,Gustavo Correia,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,14.0,Fri,2021-12-10,20:15,Paços,0.9,0–1,1.1,Gil Vicente FC,1542.0,Estádio da Capital do Móvel,Artur Soares Dias,Match Report,,22,P1
Regular season,14.0,Sat,2021-12-11,15:30,Marítimo,2.5,4–1,0.7,Santa Clara,1784.0,Estádio dos Barreiros,Fábio Veríssimo,Match Report,,22,P1
Regular season,14.0,Sat,2021-12-11,18:00,Vitória,4.3,5–2,1.4,Tondela,6354.0,Estádio Dom Afonso Henriques,Fábio Oliveira Melo,Match Report,,22,P1
Regular season,14.0,Sat,2021-12-11,20:30,Sporting CP,2.6,2–0,0.1,Boavista,18551.0,Estádio José Alvalade,Nuno Almeida,Match Report,,22,P1
Regular season,14.0,Sun,2021-12-12,15:30,Moreirense,1.2,0–1,0.4,Portimonense,820.0,P.D. Comendador Joaquim de Almeida Freit...,João Pinheiro,Match Report,,22,P1
Regular season,14.0,Sun,2021-12-12,15:30,B-SAD,0.4,0–1,1.0,Estoril,724.0,Estádio Nacional,Hélder Malheiro,Match Report,,22,P1
Regular season,14.0,Sun,2021-12-12,18:00,Famalicão,1.3,1–4,1.4,Benfica,3994.0,Estádio Municipal 22 de Junho,Hugo Miguel,Match Report,,22,P1
Regular season,14.0,Sun,2021-12-12,20:30,Porto,2.1,1–0,0.5,Braga,22307.0,Estádio Do Dragão,António Nobre,Match Report,,22,P1
Regular season,14.0,Mon,2021-12-13,20:15,Arouca,1.8,1–4,1.8,Vizela,723.0,Estádio Municipal de Arouca,Tiago Martins,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
