Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
22.0,Sun,2020-01-19,18:00,Anderlecht,1–2,Club Brugge,20000.0,Lotto Park,Lawrence Visser,Match Report,,20,B1
22.0,Sun,2020-01-19,20:00,Zulte Waregem,0–3,Genk,8043.0,Regenboogstadion,Alexandre Boucaut,Match Report,,20,B1
,,,,,,,,,,,,20,B1
23.0,Fri,2020-01-24,20:30,Standard Liège,2–1,Oostende,26402.0,Stade Maurice Dufrasne,Jasper Vergoote,Match Report,,20,B1
23.0,Sat,2020-01-25,20:00,Excel Mouscron,1–3,Sint-Truiden,1392.0,Stade Le Canonnier,Bert Put,Match Report,,20,B1
23.0,Sat,2020-01-25,20:00,Waasland-Bev,0–1,Eupen,3033.0,Freethiel-Stadion,Frederik Geldhof,Match Report,,20,B1
23.0,Sat,2020-01-25,20:30,Gent,4–1,Genk,19144.0,GHELAMCO-arena,Erik Lambrechts,Match Report,,20,B1
23.0,Sun,2020-01-26,14:30,Cercle Brugge,1–2,Anderlecht,5192.0,Jan Breydelstadion,Alexandre Boucaut,Match Report,,20,B1
23.0,Sun,2020-01-26,18:00,Kortrijk,2–2,Club Brugge,9399.0,Guldensporenstadion,Bram Van Driessche,Match Report,,20,B1
23.0,Sun,2020-01-26,20:00,Antwerp,2–1,Zulte Waregem,10619.0,Bosuilstadion,Lothar D'Hondt,Match Report,,20,B1
,,,,,,,,,,,,20,B1
5.0,Wed,2020-01-29,20:30,Charleroi,0–0,Club Brugge,12090.0,Stade du Pays de Charleroi,Nicolas Laforge,Match Report,,20,B1
,,,,,,,,,,,,20,B1
